zip_code,centroid_longitude,centroid_latitude,internal_point_latitude,internal_point_longitude,area,convex_hull_area
31316,-81.72852943951375,31.717205177153527,+31.7235695,-081.7142872,0.07185692498400005,0.08509902307350009
31318,-81.37194076645181,32.14202591459847,+32.1420253,-081.3719409,0.00033628065899999753,0.0003966012774999876
31320,-81.36614849130287,31.768099340196557,+31.7655037,-081.3684106,0.03209406780950018,0.044918713184500476
52641,-91.58721544971716,40.989689809835795,+40.9945852,-091.5857716,0.05904393689250009,0.08117589896799934
52644,-91.41498684478223,41.03999868707166,+41.0399948,-091.4149800,0.011895587306999947,0.014206683225999614
31321,-81.66563931257343,32.18121627532573,+32.1850595,-081.6597751,0.03452437753499998,0.0444305748689994
52645,-91.40303438173102,40.913601168192685,+40.9122164,-091.4042268,0.019843762384000135,0.029146659740000663
52646,-91.00144971180167,41.06670005409488,+41.0565763,-090.9981233,0.016606153504999815,0.02009231700399998
52647,-91.54465765206322,41.135101406946795,+41.1351013,-091.5446577,9.776161899998037e-05,0.00010966541049998753
31322,-81.25389120806979,32.10973239785149,+32.1098854,-081.2554654,0.007294589301000004,0.012327665562000139
52649,-91.60359701567211,40.840740616690496,+40.8385670,-091.6121493,0.012748539568499986,0.020564605115999456
52650,-91.15729115962277,40.9488531278674,+40.9512102,-091.1520379,0.011175220375499909,0.014595687398999904
15747,-79.14811209984684,40.767890690755344,+40.7757883,-079.1458746,0.00845443430200016,0.012224493353999577
55406,-93.2211607869311,44.939587091741444,+44.9386895,-093.2210422,0.0015422173219999784,0.0016969565864999882
55407,-93.2528460931037,44.93500927408774,+44.9350355,-093.2530287,0.0012227516250000246,0.0013422733054998756
55408,-93.29206361419921,44.939930495779784,+44.9404245,-093.2926389,0.0009647226045000136,0.0013301597069997411
48708,-83.84506123471463,43.56189783935558,+43.5570603,-083.8496799,0.008282885481000054,0.011483126013499713
48710,-83.98766896155551,43.55651305908321,+43.5565131,-083.9876689,0.00011996465849997204,0.00012599313549997712
48720,-83.35220315891709,43.833525731835735,+43.8389082,-083.3420723,0.010177177013500047,0.01726040474099945
48721,-83.34245853898683,44.80758748479989,+44.8081060,-083.3394801,0.00870157772549989,0.01060661113000014
48722,-83.8417943753384,43.348302390045006,+43.3467235,-083.8447615,0.0049768469155000135,0.007549564404499822
39479,-89.46074790840754,31.53602765946634,+31.5292633,-089.4581758,0.031218961180499816,0.03967365304249912
42320,-86.87089933191201,37.35242640974409,+37.3327279,-086.8670166,0.04005284919699989,0.05778833549600021
42321,-87.05594607210699,37.17159584139359,+37.1654890,-087.0550612,0.0004086511069999844,0.0006451585720001491
42322,-87.39531264293994,37.61364800900935,+37.6136480,-087.3953127,1.5957206000003344e-05,2.002082449997589e-05
01012,-72.84635672601195,42.387012157263335,+42.3754254,-072.8581917,0.0037733042489999364,0.004613141721999695
